Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Roberts-Glover,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,15/03/2024,Services,Churned Customer,7,,,317,40,15/09/2024,13/07/2024,,
Bauch Group,Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Sarah Davis,17/01/2024,SAAS,Churned Customer,7,,,1813,40,28/03/2024,24/01/2024,,
"Reynolds, Kunze and Christiansen",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),David Wilson,24/01/2024,Services,Churned Customer,7,,,1515,40,22/10/2024,03/02/2024,,
"Skiles, Koepp and Walter",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,19/04/2024,SAAS,Churned Customer,7,,,1569,50,05/11/2024,21/05/2024,,
Hermiston and Sons,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Sarah Davis,06/05/2024,Custom solution,Churned Customer,7,,,405,40,09/04/2025,07/06/2024,,
Roberts-Stracke,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,30/05/2024,SAAS,Churned Customer,7,,,1456,60,03/08/2024,06/06/2024,,
"Frami, Gerlach and Sporer",France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),David Wilson,07/05/2024,Services,Churned Customer,7,,,217,90,04/08/2024,22/08/2024,,
Schumm-Block,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,28/02/2024,Services,Churned Customer,7,,,426,40,17/12/2024,10/04/2024,,
"Beahan, Nitzsche and Williamson",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,25/04/2024,SAAS,Churned Customer,7,,,1846,60,19/04/2025,31/07/2024,,
"Bergstrom, Kling and Mayer",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Michael Brown,19/04/2024,SAAS,Churned Customer,7,,,1515,40,25/01/2025,12/07/2024,,
"Stroman, Ritchie and Toy",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Sarah Davis,21/02/2024,Services,Churned Customer,7,,,1007,20,06/10/2024,01/04/2024,,
"Williamson, Smitham and Muller",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Kevin Anderson,03/05/2024,Services,Churned Customer,7,,,1895,80,20/02/2025,14/05/2024,,
Kub-Brown,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Jessica Martinez,27/03/2024,Services,Churned Customer,7,,,748,50,30/08/2024,16/07/2024,,
Medhurst Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,05/01/2024,SAAS,Churned Customer,7,,,726,10,13/06/2024,20/03/2024,,
Murray-Lehner,Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,12/02/2024,SAAS,Churned Customer,7,,,634,60,30/03/2024,27/02/2024,,
"McLaughlin, Effertz and Swift",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,19/02/2024,Custom solution,Churned Customer,7,,,586,60,01/11/2024,13/06/2024,,
Shields LLC,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Sarah Davis,13/05/2024,Services,Churned Customer,7,,,1936,20,17/12/2024,22/08/2024,,
Koch Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,21/03/2024,Custom solution,Churned Customer,7,,,1620,40,24/08/2024,13/05/2024,,
Langosh Group,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Kevin Anderson,04/02/2024,SAAS,Churned Customer,7,,,287,10,05/12/2024,14/02/2024,,
"Wiegand, Friesen and Ortiz",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Jessica Martinez,15/05/2024,Custom solution,Churned Customer,7,,,1828,50,07/10/2024,29/08/2024,,
Ward-Schinner,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Laura Thompson,15/02/2024,SAAS,Churned Customer,7,,,453,40,03/12/2024,26/04/2024,,
"Kub, Hintz and Simonis",France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,30/03/2024,Services,Churned Customer,7,,,835,70,14/08/2024,23/05/2024,,
Greenfelder-Klocko,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,27/02/2024,SAAS,Churned Customer,7,,,1924,30,19/03/2024,18/06/2024,,
"Rice, Walker and Hermiston",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,17/01/2024,SAAS,Churned Customer,7,,,1020,20,31/05/2024,26/03/2024,,
"Frami, Brekke and Crooks",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),David Wilson,30/04/2024,SAAS,Churned Customer,7,,,543,30,21/06/2024,12/07/2024,,
"Cassin, Windler and Friesen",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,28/03/2024,SAAS,Churned Customer,7,,,1984,20,31/12/2024,29/05/2024,,
"Greenfelder, O'Reilly and Dietrich",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Emily Johnson,19/01/2024,SAAS,Churned Customer,7,,,349,50,22/04/2024,07/02/2024,,
"Kris, Brekke and Gulgowski",Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),Michael Brown,07/01/2024,SAAS,Churned Customer,7,,,1790,90,14/12/2024,13/02/2024,,
Adams and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,13/02/2024,SAAS,Churned Customer,7,,,1606,40,01/11/2024,09/05/2024,,
"Kunze, O'Reilly and Von",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,08/04/2024,SAAS,Churned Customer,7,,,716,40,11/03/2025,13/07/2024,,
Rempel and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,25/01/2024,SAAS,Churned Customer,7,,,1883,20,13/10/2024,17/04/2024,,
Smitham-Sipes,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,06/01/2024,Services,Churned Customer,7,,,233,10,12/11/2024,10/02/2024,,
Krajcik-Tromp,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Laura Thompson,06/05/2024,SAAS,Churned Customer,7,,,854,60,28/12/2024,10/08/2024,,
"Gusikowski, Erdman and Ryan",Italy,41.902782,12.496366,Education & Science,Small (11-200),Jessica Martinez,21/05/2024,Services,Churned Customer,7,,,1249,80,17/03/2025,29/06/2024,,
"Renner, Bashirian and Lind",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,21/03/2024,SAAS,Churned Customer,7,,,1125,30,12/04/2024,02/06/2024,,
"Spencer, Jerde and Green",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,27/05/2024,SAAS,Churned Customer,7,,,1411,40,23/03/2025,29/08/2024,,
Maggio-Reynolds,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,03/02/2024,SAAS,Churned Customer,7,,,1503,30,03/01/2025,19/04/2024,,
Blognation,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,31/05/2024,Custom solution,Churned Customer,7,,,206,80,10/10/2024,17/06/2024,,
Dablist,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Kevin Anderson,11/01/2024,SAAS,Churned Customer,7,,,956,100,26/04/2024,07/03/2024,,
Meedoo,Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,09/04/2024,SAAS,Churned Customer,7,,,668,40,05/09/2024,27/04/2024,,
Runte Group,Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Kevin Anderson,08/05/2024,Services,Churned Customer,7,,,721,30,22/02/2025,20/07/2024,,
VonRueden Inc,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,03/03/2024,Services,Churned Customer,7,,,320,20,21/10/2024,23/03/2024,,
Treutel-Willms,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,17/05/2024,Custom solution,Churned Customer,7,,,1074,90,21/12/2024,15/08/2024,,
"Medhurst, Weber and Waters",Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),John Smith,15/02/2024,SAAS,Churned Customer,7,,,480,70,07/02/2025,13/05/2024,,
Hansen LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),Laura Thompson,05/01/2024,Services,Churned Customer,7,,,392,20,26/01/2024,13/03/2024,,
Bechtelar-Heidenreich,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Michael Brown,25/03/2024,Services,Churned Customer,7,,,846,40,27/08/2024,02/06/2024,,
"Rosenbaum, Breitenberg and Langworth",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Emily Johnson,30/04/2024,SAAS,Churned Customer,7,,,968,50,24/01/2025,03/08/2024,,
Kunde Group,Spain,40.416775,-3.703790,Agriculture & Mining,Micro (1-10),Laura Thompson,04/01/2024,Services,Churned Customer,7,,,1068,40,12/11/2024,18/03/2024,,
Abernathy and Sons,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Laura Thompson,27/03/2024,Services,Churned Customer,7,,,617,30,02/12/2024,01/04/2024,,
"Erdman, Wilkinson and Stracke",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,04/01/2024,Services,Churned Customer,7,,,888,30,08/05/2024,04/02/2024,,
"Bogisich, Denesik and Crona",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Michael Brown,15/04/2024,Custom solution,Churned Customer,7,,,364,30,29/05/2024,12/08/2024,,
Davis-Schuppe,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Jessica Martinez,15/04/2024,Services,Churned Customer,7,,,856,60,29/09/2024,11/07/2024,,
Huel-Dooley,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Sarah Davis,10/02/2024,SAAS,Churned Customer,7,,,555,40,27/07/2024,18/03/2024,,
Bergstrom LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,04/04/2024,Services,Churned Customer,7,,,1035,70,20/08/2024,25/07/2024,,
"Considine, Collins and Hudson",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,25/02/2024,SAAS,Churned Customer,7,,,566,30,09/12/2024,01/06/2024,,
Kunde-Lindgren,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,18/01/2024,Services,Churned Customer,7,,,722,90,04/11/2024,03/05/2024,,
Crooks Group,France,48.864716,2.349014,Telecommunications,Micro (1-10),Laura Thompson,16/01/2024,Services,Churned Customer,7,,,1000,80,15/04/2024,03/02/2024,,
O'Conner Group,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,18/02/2024,Custom solution,Churned Customer,7,,,898,60,27/03/2024,13/04/2024,,
Bogan-Goyette,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,23/05/2024,Services,Churned Customer,7,,,786,30,03/12/2024,10/09/2024,,
"Hilll, Runolfsdottir and Barrows",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,23/02/2024,SAAS,Churned Customer,7,,,843,40,29/06/2024,16/06/2024,,
"Lubowitz, McClure and Hettinger",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Kevin Anderson,01/05/2024,SAAS,Churned Customer,7,,,608,20,16/03/2025,20/08/2024,,
Herman LLC,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,05/01/2024,Services,Churned Customer,7,,,285,20,16/07/2024,22/01/2024,,
Bednar-Schuppe,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Jessica Martinez,15/03/2024,Custom solution,Churned Customer,7,,,950,20,25/12/2024,06/07/2024,,
Reynolds-Olson,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Jessica Martinez,06/04/2024,SAAS,Churned Customer,7,,,1095,40,20/09/2024,06/04/2024,,
"Jacobi, Johnson and Harris",France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Laura Thompson,21/05/2024,Services,Churned Customer,7,,,668,90,20/08/2024,07/08/2024,,
Beatty Group,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,26/01/2024,Services,Churned Customer,7,,,993,50,29/09/2024,14/02/2024,,
"Hettinger, Kuhic and Dooley",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),John Smith,07/02/2024,SAAS,Churned Customer,7,,,670,50,09/04/2024,01/04/2024,,
O'Kon-Fay,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,13/02/2024,SAAS,Churned Customer,7,,,442,20,08/09/2024,24/05/2024,,
Leuschke LLC,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,31/01/2024,Custom solution,Churned Customer,7,,,375,70,16/07/2024,13/03/2024,,
"Dooley, Stracke and Wiegand",Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Kevin Anderson,28/02/2024,SAAS,Churned Customer,7,,,258,40,12/01/2025,19/04/2024,,
Heathcote-Ryan,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,26/04/2024,SAAS,Churned Customer,7,,,663,40,17/02/2025,29/05/2024,,
"Leuschke, Mohr and Rolfson",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,11/03/2024,Services,Churned Customer,7,,,1039,70,13/12/2024,14/06/2024,,
Reinger and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,13/01/2024,SAAS,Churned Customer,7,,,991,40,30/04/2024,26/03/2024,,
Klocko Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,06/01/2024,SAAS,Churned Customer,7,,,820,20,24/10/2024,09/02/2024,,
"Koch, Kerluke and Kuphal",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Laura Thompson,20/02/2024,SAAS,Churned Customer,7,,,884,100,10/01/2025,03/04/2024,,
Wolf Inc,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),Sarah Davis,22/02/2024,Custom solution,Churned Customer,7,,,1057,60,07/02/2025,14/06/2024,,
Hoeger-Jakubowski,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Jessica Martinez,30/05/2024,Services,Churned Customer,7,,,654,20,02/11/2024,23/08/2024,,
Ziemann LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,17/01/2024,SAAS,Churned Customer,7,,,913,50,13/03/2024,19/02/2024,,
Flashspan,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),John Smith,25/04/2024,SAAS,Churned Customer,7,,,5555,50,28/02/2025,30/04/2024,,
Wordpedia,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,21/04/2024,Custom solution,Churned Customer,7,,,5916,10,13/10/2024,09/06/2024,,
Quaxo,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,26/02/2024,Services,Churned Customer,7,,,1352,20,16/06/2024,25/04/2024,,
Skivee,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Jessica Martinez,04/05/2024,Custom solution,Churned Customer,7,,,7313,90,31/05/2024,21/08/2024,,
BlogXS,Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Jessica Martinez,13/05/2024,Custom solution,Churned Customer,7,,,481,50,07/06/2024,21/06/2024,,
Buzzster,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,23/02/2024,Services,Churned Customer,7,,,5122,20,31/07/2024,23/03/2024,,
Wyman-Goodwin,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,01/02/2024,SAAS,Churned Customer,7,,,7898,30,05/09/2024,02/03/2024,,
Cruickshank-Weimann,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,18/03/2024,Custom solution,Churned Customer,7,,,5718,30,03/08/2024,08/06/2024,,
Schaden-Bode,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),David Wilson,10/02/2024,Services,Churned Customer,7,,,2849,90,15/09/2024,16/02/2024,,
Walker LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,12/01/2024,Services,Churned Customer,7,,,3612,40,24/07/2024,02/04/2024,,
"Tremblay, Lebsack and Gerhold",Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Jessica Martinez,05/04/2024,SAAS,Churned Customer,7,,,1333,20,28/06/2024,01/06/2024,,
O'Reilly-Ferry,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,18/01/2024,Services,Churned Customer,7,,,2367,20,07/01/2025,12/05/2024,,
Bartoletti-Aufderhar,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),David Wilson,07/04/2024,Services,Churned Customer,7,,,3651,40,28/07/2024,12/04/2024,,
Kiehn-Kshlerin,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,23/02/2024,SAAS,Churned Customer,7,,,1647,10,01/01/2025,24/05/2024,,
Haley Group,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),John Smith,18/02/2024,SAAS,Churned Customer,7,,,3098,40,12/11/2024,01/03/2024,,
"Hegmann, Larkin and Bednar",France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Kevin Anderson,15/02/2024,Services,Churned Customer,7,,,7604,40,14/11/2024,02/03/2024,,
"Lynch, Kihn and Bartell",Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Kevin Anderson,03/03/2024,Services,Churned Customer,7,,,3858,50,20/06/2024,01/04/2024,,
"Schinner, Bogisich and Batz",Austria,48.210033,16.363449,Education & Science,Medium (201-500),Emily Johnson,12/01/2024,SAAS,Churned Customer,7,,,785,70,17/07/2024,14/04/2024,,
Grimes and Sons,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Jessica Martinez,20/01/2024,SAAS,Churned Customer,7,,,4410,40,10/06/2024,07/03/2024,,
"VonRueden, Gerlach and Schiller",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Laura Thompson,10/04/2024,Services,Churned Customer,7,,,3455,100,11/12/2024,11/06/2024,,
"Heller, Effertz and Tromp",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Laura Thompson,14/02/2024,SAAS,Churned Customer,7,,,7486,40,22/12/2024,11/05/2024,,
Emard-Lind,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Michael Brown,03/03/2024,Services,Churned Customer,7,,,4521,90,12/12/2024,06/03/2024,,
O'Hara-Wyman,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),David Wilson,30/05/2024,SAAS,Churned Customer,7,,,1641,20,09/07/2024,06/09/2024,,
Tillman-Greenholt,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,02/01/2024,SAAS,Churned Customer,7,,,3545,40,13/07/2024,27/04/2024,,
Powlowski LLC,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,18/05/2024,SAAS,Churned Customer,7,,,5862,60,27/09/2024,06/07/2024,,
O'Reilly-Stanton,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Kevin Anderson,17/03/2024,Services,Churned Customer,7,,,6124,20,28/06/2024,05/07/2024,,
O'Reilly-Bruen,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,05/02/2024,Services,Churned Customer,7,,,2002,30,23/12/2024,20/03/2024,,
Kirlin and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,02/01/2024,Services,Churned Customer,7,,,3182,20,05/05/2024,03/03/2024,,
MacGyver LLC,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Jessica Martinez,04/02/2024,SAAS,Churned Customer,7,,,7019,30,02/03/2024,12/05/2024,,
Lemke-Crooks,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,17/04/2024,SAAS,Churned Customer,7,,,2816,70,04/08/2024,18/05/2024,,
"Hirthe, Grady and Cummings",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Emily Johnson,24/05/2024,SAAS,Churned Customer,7,,,734,40,04/08/2024,27/08/2024,,
Crooks-Wiza,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,23/03/2024,SAAS,Churned Customer,7,,,7204,20,22/11/2024,24/06/2024,,
"Ortiz, Bashirian and Pfannerstill",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,01/04/2024,SAAS,Churned Customer,7,,,2921,60,13/02/2025,02/06/2024,,
"Orn, Blanda and Oberbrunner",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,09/03/2024,Services,Churned Customer,7,,,2653,50,31/01/2025,30/05/2024,,
Boyle Inc,France,48.864716,2.349014,Telecommunications,Medium (201-500),Sarah Davis,29/05/2024,Custom solution,Churned Customer,7,,,4849,30,20/07/2024,23/07/2024,,
"Rodriguez, Little and Jast",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,28/03/2024,Custom solution,Churned Customer,7,,,1092,40,02/01/2025,13/07/2024,,
Bosco LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,10/05/2024,Custom solution,Churned Customer,7,,,5902,50,29/04/2025,27/07/2024,,
Bergnaum LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,04/05/2024,Custom solution,Churned Customer,7,,,625,40,04/10/2024,03/08/2024,,
"Corkery, Block and Frami",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,01/02/2024,Services,Churned Customer,7,,,7655,60,31/03/2024,27/04/2024,,
"Auer, Bogisich and Kovacek",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,14/04/2024,Custom solution,Churned Customer,7,,,7270,30,03/10/2024,26/07/2024,,
Jones and Sons,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Emily Johnson,12/01/2024,Custom solution,Churned Customer,7,,,6482,90,03/01/2025,24/03/2024,,
"Wilderman, Bayer and Hickle",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,10/01/2024,Services,Churned Customer,7,,,3196,30,21/05/2024,21/03/2024,,
"Rutherford, Lueilwitz and Frami",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Michael Brown,01/02/2024,Services,Churned Customer,7,,,5812,90,25/12/2024,28/03/2024,,
Lang LLC,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),John Smith,20/01/2024,SAAS,Churned Customer,7,,,2015,100,02/01/2025,05/02/2024,,
Auer Group,Spain,40.416775,-3.703790,Agriculture & Mining,Medium (201-500),Laura Thompson,12/01/2024,Services,Churned Customer,7,,,3580,30,29/05/2024,24/02/2024,,
"Hilll, Jacobi and Cormier",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),John Smith,01/03/2024,SAAS,Churned Customer,7,,,1985,60,26/01/2025,01/06/2024,,
Reinger LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Kevin Anderson,17/02/2024,Services,Churned Customer,7,,,7799,60,21/06/2024,25/02/2024,,
"Heaney, Hickle and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,01/05/2024,Services,Churned Customer,7,,,1142,50,05/12/2024,17/07/2024,,
Hudson-Morar,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Laura Thompson,17/03/2024,Services,Churned Customer,7,,,5858,40,19/05/2024,02/05/2024,,
Heller-Hartmann,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Sarah Davis,10/02/2024,SAAS,Churned Customer,7,,,2557,50,24/05/2024,24/02/2024,,
Torphy-Pouros,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),John Smith,08/02/2024,Services,Churned Customer,7,,,3207,60,18/10/2024,07/06/2024,,
Zulauf-Gutkowski,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Michael Brown,10/05/2024,SAAS,Churned Customer,7,,,797,70,30/11/2024,02/08/2024,,
"Kunde, O'Keefe and Skiles",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,03/01/2024,Services,Churned Customer,7,,,6018,40,08/07/2024,01/04/2024,,
